child_id,physical_abuse,emotional_abuse,sexual_abuse,victimization,parent_monitoring,parent_support,parental_warmth,family_conflict,domestic_violence_exposure,school_attendance,school_grades,school_attachment,teacher_support,school_suspensions,alcohol_use,smoking_frequency,drug_use,peer_delinquency,gang_exposure,household_income,parent_education,neighborhood_disadvantage,mental_health_score,impulsivity_score,criminal_risk,is_criminal
CHD01100,3.5,8.42,2.27,1.32,8.45,,6.63,5.87,3.92,5.0,5.38,12.41,4.63,7.76,7.21,5.42,1.21,1.85,1.42,62005.85,0.36,1.57,10.3,9.99,44.2,0
CHD01101,0.58,3.49,4.88,9.58,0.73,8.54,0.57,0.23,2.65,6.85,6.78,4.7,4.53,4.42,1.31,5.77,3.34,3.01,8.67,21870.98,0.12,9.95,2.2,5.96,46.9,0
CHD01102,9.69,3.8,0.87,3.03,2.19,1.83,6.22,4.4,9.79,4.9,,2.78,11.78,4.99,1.02,8.0,,6.02,3.1,86331.23,13.59,0.75,4.74,6.99,58.3,1
CHD01103,8.84,3.27,4.79,4.42,3.0,7.59,6.49,9.66,14.86,1.2,9.24,5.65,4.29,7.97,7.0,1.57,6.13,7.2,2.5,95535.13,4.84,3.45,4.22,0.7,50.3,0
CHD01104,12.56,0.92,1.46,5.54,9.99,8.8,6.17,3.68,4.68,0.28,3.23,2.08,9.2,8.11,0.71,9.2,5.71,13.6,0.62,103300.07,8.55,,9.76,8.61,59.8,1
CHD01105,9.95,0.31,0.95,3.3,3.16,3.02,5.75,3.02,9.84,5.12,5.86,0.08,8.62,3.68,,5.2,7.98,0.63,6.46,95357.53,3.53,0.98,8.73,,48.2,0
CHD01106,1.74,4.52,3.13,0.65,9.42,7.98,0.92,7.83,2.96,3.95,4.45,9.16,1.09,2.08,2.89,,6.59,1.44,5.88,144187.17,20.54,5.19,3.43,3.5,28.6,0
CHD01107,3.96,9.43,4.46,7.17,1.38,5.23,2.4,4.63,9.03,2.35,2.43,3.38,0.57,5.57,9.39,8.4,5.01,6.0,0.69,15115.86,21.09,2.75,9.78,6.66,70.4,1
CHD01108,7.58,9.17,1.81,7.7,2.19,7.78,8.11,9.23,6.73,6.93,3.71,,3.01,,3.72,8.61,8.2,6.29,6.35,266346.31,18.68,8.94,6.27,6.6,64.9,1
CHD01109,6.96,8.1,0.38,5.31,1.92,6.6,,1.61,8.38,,,6.37,1.07,0.42,5.54,3.55,4.55,9.59,3.77,123526.44,7.87,1.03,7.69,1.53,46.4,0
CHD01110,1.54,6.29,2.68,4.3,2.14,6.15,8.9,9.91,4.12,6.99,,4.97,3.68,8.35,1.4,7.13,0.36,6.13,1.94,46890.66,14.04,8.34,7.88,4.8,50.0,0
CHD01111,8.16,8.56,4.93,7.27,4.12,6.05,,9.33,0.92,5.47,7.27,9.21,4.81,2.12,9.21,0.47,9.94,2.54,5.23,80534.87,6.38,0.79,9.86,2.79,44.7,0
CHD01112,2.24,5.15,1.95,9.94,2.57,0.69,3.66,3.69,5.25,3.25,0.43,5.37,2.29,9.25,13.12,4.32,1.88,9.81,1.01,109340.78,1.98,0.45,1.0,9.43,58.2,1
CHD01113,2.24,1.8,0.1,9.32,6.24,0.39,3.25,2.49,9.23,2.52,8.33,5.96,8.46,6.31,4.78,7.11,11.95,7.28,7.79,12586.68,1.33,2.12,2.6,6.21,59.0,1
CHD01114,5.37,,2.5,5.63,2.75,7.58,7.14,8.12,9.47,7.77,5.79,5.12,8.45,2.6,3.05,8.11,0.41,6.68,5.31,76959.34,4.1,5.35,,2.08,54.6,1
CHD01115,5.93,9.21,1.92,8.17,6.21,6.71,1.69,1.98,0.79,1.05,7.17,0.07,6.59,4.69,14.45,5.49,2.72,0.61,9.94,148825.74,4.99,9.71,0.98,4.06,48.9,0
CHD01116,5.8,0.2,0.33,2.2,0.8,,6.66,1.91,9.74,14.26,3.25,2.43,13.89,3.22,9.34,7.43,7.03,8.41,3.71,58070.26,15.97,2.5,,,48.2,0
CHD01117,0.91,2.51,4.37,3.73,1.45,8.11,2.75,5.11,5.33,7.83,2.26,1.53,8.76,8.9,4.59,1.15,7.45,4.27,5.21,87637.6,5.16,4.84,4.6,3.85,55.1,0
CHD01118,8.77,2.65,,9.61,5.22,1.77,6.5,13.32,4.43,2.51,4.24,8.33,6.08,9.7,3.15,,5.01,3.06,5.42,135649.97,0.16,10.31,1.3,4.05,46.6,0
CHD01119,2.66,0.99,0.77,5.56,4.8,6.19,2.14,5.08,5.12,4.62,4.09,1.31,4.73,8.22,7.41,6.94,7.54,9.99,1.5,122099.09,7.78,5.82,1.7,3.49,56.4,1
CHD01120,1.3,2.25,4.63,5.39,9.66,3.51,8.43,8.9,2.26,8.23,3.69,9.39,5.59,13.59,1.79,5.47,0.82,1.89,0.06,61454.1,15.61,7.96,8.99,,44.8,0
CHD01121,8.89,3.84,2.88,2.41,9.49,0.34,5.16,6.75,2.37,0.14,5.19,,7.64,7.45,3.06,1.75,4.76,0.88,5.98,91280.89,9.98,7.05,1.37,0.54,43.2,0
CHD01122,9.56,9.4,3.45,4.93,3.06,3.13,2.54,4.1,5.32,2.17,3.77,5.52,4.27,5.75,7.22,1.32,2.71,3.26,7.29,129682.88,4.42,5.22,6.55,4.85,51.1,0
CHD01123,8.62,8.6,2.92,1.68,8.31,7.64,7.41,2.15,8.62,6.54,3.71,14.54,3.32,7.29,7.04,0.58,9.9,2.19,9.3,20634.83,4.72,,6.42,1.1,46.5,0
CHD01124,8.1,9.46,4.89,7.33,0.15,1.99,1.49,3.26,5.01,2.57,7.87,6.37,1.02,1.11,1.56,7.28,6.36,1.81,1.51,60168.8,3.65,14.74,8.55,6.28,55.5,0
CHD01125,,1.21,4.45,8.73,8.23,1.54,2.49,5.35,1.34,6.0,4.45,3.53,1.01,,3.13,7.12,6.22,0.2,1.0,135951.11,7.41,9.37,2.38,8.36,47.5,0
CHD01126,5.51,0.28,0.08,7.74,4.62,9.23,9.6,7.44,4.61,1.28,,2.24,1.1,4.14,4.77,1.96,1.08,2.0,9.42,30804.38,3.94,7.56,4.92,3.99,43.0,0
CHD01127,0.87,1.1,0.07,1.24,7.12,7.81,9.26,8.07,6.6,1.57,1.4,4.27,,4.87,11.37,8.98,6.47,9.34,9.78,66008.26,12.44,4.06,5.65,5.37,59.7,1
CHD01128,4.08,9.14,,5.62,5.12,1.44,11.1,4.51,9.2,1.25,7.15,9.49,3.88,2.69,8.02,0.08,5.64,6.2,1.48,100647.0,2.34,7.47,1.85,4.46,48.4,0
CHD01129,3.73,1.57,1.57,3.66,8.55,8.78,5.49,9.8,3.55,3.06,3.91,6.74,0.07,2.3,1.51,1.93,4.15,5.85,9.48,,11.55,2.22,7.58,9.66,47.4,0
CHD01130,2.6,5.73,2.69,3.25,5.17,5.22,5.9,8.27,9.2,6.83,3.61,9.6,14.23,9.74,9.04,6.38,5.52,7.85,1.07,75390.94,15.69,9.99,2.9,,64.7,1
CHD01131,7.23,2.28,1.69,7.97,2.87,6.65,3.7,12.06,9.94,3.82,3.67,0.94,3.22,2.25,11.16,4.18,9.68,2.93,4.02,93352.12,12.54,3.05,2.16,9.49,56.8,1
CHD01132,4.96,0.21,4.39,4.8,9.32,2.56,1.26,4.99,5.49,4.17,5.59,9.57,0.61,2.06,1.66,3.44,9.65,2.5,0.78,131668.39,19.96,0.15,0.74,8.7,39.6,0
CHD01133,0.81,0.85,0.85,8.48,1.53,5.08,7.95,0.08,6.17,2.06,5.53,3.26,7.6,0.54,0.26,,5.37,1.44,5.59,52480.67,24.22,9.25,3.39,9.74,42.0,0
CHD01134,2.2,7.1,0.29,4.06,4.82,4.41,2.24,0.89,3.29,6.37,7.56,9.97,8.29,5.73,13.7,,1.56,3.88,1.02,68730.24,11.39,5.95,0.31,7.36,44.8,0
CHD01135,6.83,1.82,1.71,5.44,1.25,,0.11,1.69,8.14,3.02,1.4,6.75,8.68,7.56,1.24,7.66,4.39,,1.26,61518.56,10.99,2.64,0.23,7.36,62.1,1
CHD01136,0.76,2.29,0.7,3.2,1.0,7.31,8.36,,8.57,8.95,6.3,0.3,9.66,2.99,3.29,3.84,,6.98,3.09,121852.62,14.2,7.41,,8.52,41.5,0
CHD01137,8.51,3.77,2.96,3.99,0.59,2.29,2.86,3.63,0.0,2.74,2.71,,9.51,9.46,2.06,2.67,7.48,0.76,9.24,141229.99,3.42,0.84,1.11,5.26,47.1,0
CHD01138,4.95,6.57,2.36,6.85,2.82,13.59,6.17,1.32,2.08,6.66,9.4,1.27,2.7,0.12,3.84,7.97,4.54,3.86,3.75,43201.09,0.0,0.21,5.79,3.1,36.7,1
CHD01139,4.81,4.69,3.54,2.83,7.64,4.94,5.13,8.73,9.53,4.92,9.01,4.16,7.21,4.12,3.43,2.45,4.22,3.0,8.32,112992.39,12.79,3.8,,4.45,43.1,0
CHD01140,5.92,9.45,0.36,9.98,7.03,,7.36,10.09,5.23,8.51,4.69,3.79,3.25,9.77,1.75,8.15,4.63,3.88,0.82,,1.22,3.83,4.4,0.43,54.2,0
CHD01141,8.25,4.34,,8.16,8.22,1.57,3.34,4.94,2.64,6.65,4.44,7.1,2.67,6.32,11.6,3.23,8.09,8.3,3.5,95598.4,9.87,9.01,,6.04,63.2,1
CHD01142,3.48,,1.38,12.58,2.98,5.82,2.12,0.18,14.22,2.09,3.12,5.55,1.92,4.69,1.16,4.2,1.24,3.17,,37045.84,16.31,9.79,6.39,6.64,52.2,0
CHD01143,6.78,5.36,3.36,2.3,4.82,2.25,13.68,2.13,,7.99,6.02,1.23,0.38,6.66,,8.36,4.83,6.6,6.0,140723.95,18.8,2.42,2.87,1.63,53.3,0
CHD01144,5.66,4.51,1.46,6.73,6.3,5.05,0.86,8.5,,1.15,12.62,6.69,9.78,4.14,4.11,8.7,0.79,9.09,13.23,59142.98,6.51,4.26,1.03,9.68,55.9,1
CHD01145,2.67,7.87,,1.74,3.4,0.87,6.88,1.29,6.47,2.64,9.56,5.89,9.78,5.33,1.74,5.37,3.79,7.34,6.69,89065.53,2.91,9.69,5.87,7.25,53.2,1
CHD01146,8.79,9.35,4.17,,3.37,7.84,6.97,8.52,6.94,3.25,1.3,4.88,1.3,5.91,2.33,5.56,5.09,0.56,1.48,46167.76,11.32,0.38,9.96,9.04,53.3,0
CHD01147,7.97,8.36,1.53,6.49,2.16,5.81,6.16,4.63,5.35,5.98,4.86,8.47,3.26,,,7.41,2.11,8.35,6.07,114869.62,4.68,9.11,2.14,2.6,54.3,0
CHD01148,6.58,3.89,4.55,2.34,5.21,7.02,8.6,2.19,8.93,2.83,6.9,5.61,5.76,6.1,7.37,9.62,3.81,2.34,8.52,130765.88,7.67,2.82,4.62,3.05,41.3,0
CHD01149,,2.16,1.61,1.76,9.22,1.72,4.46,9.74,8.27,7.76,2.23,8.53,2.88,3.01,5.82,8.02,9.89,8.93,,142506.1,6.1,1.23,6.34,0.76,56.1,1
CHD01150,8.67,9.14,4.48,6.78,0.83,0.68,8.19,0.97,6.97,3.81,2.14,3.77,0.51,7.69,3.69,,9.94,0.51,3.52,,2.77,9.13,8.72,5.25,56.7,1
CHD01151,7.08,3.86,0.97,4.08,9.71,1.69,5.86,7.06,7.48,6.66,5.56,9.61,6.56,3.04,7.1,4.05,0.01,9.7,,71481.54,22.01,0.17,,1.89,47.3,0
CHD01152,8.37,7.7,1.44,9.42,8.96,0.65,10.97,0.35,3.8,8.62,4.0,6.62,11.46,2.91,1.07,1.66,1.47,6.02,7.39,84169.18,14.21,4.52,1.43,9.78,46.8,0
CHD01153,6.97,9.9,4.42,2.66,3.92,5.35,3.49,1.0,3.12,4.73,4.23,1.97,9.43,8.8,9.88,1.47,4.99,1.03,9.08,75403.42,18.66,8.66,8.5,8.12,50.7,0
CHD01154,6.8,5.77,0.4,2.46,0.33,6.15,5.36,,1.54,12.97,2.08,4.64,5.49,8.45,5.51,0.57,6.33,2.56,10.44,110593.48,7.93,4.84,,6.73,50.4,0
CHD01155,6.19,4.8,3.51,5.64,0.26,2.03,5.36,0.17,,2.04,9.79,6.22,4.22,1.11,8.95,0.85,9.15,6.64,8.86,95380.11,19.66,2.45,5.76,4.38,57.0,1
CHD01156,7.53,7.0,3.41,4.93,9.54,2.55,9.56,6.03,9.15,4.73,4.32,7.8,7.01,,9.96,2.46,1.82,0.7,1.56,126167.52,4.29,1.9,3.54,2.02,35.8,0
CHD01157,1.59,1.94,4.86,,6.07,6.41,2.87,0.79,8.34,7.04,7.78,4.48,9.89,5.65,8.15,4.2,3.69,7.7,1.38,94703.17,0.01,7.07,9.66,2.16,46.2,0
CHD01158,8.81,4.88,,6.07,6.94,3.75,6.11,4.27,5.91,9.25,3.99,7.32,1.45,4.39,0.06,5.11,13.18,9.5,6.62,84577.21,18.13,7.8,9.95,9.12,56.9,1
CHD01159,8.72,3.12,2.4,7.4,3.13,2.35,9.06,8.9,3.76,1.22,3.39,0.26,7.15,8.39,2.7,0.57,14.5,3.58,4.76,14855.47,10.14,1.17,1.02,7.44,65.7,1
CHD01160,0.29,1.64,3.29,1.96,8.55,6.34,7.81,9.57,8.75,14.05,6.89,5.87,9.26,0.54,7.64,7.74,2.95,6.76,7.64,29356.56,2.99,7.54,7.45,4.41,37.9,0
CHD01161,8.26,6.1,0.78,2.53,1.89,2.72,9.42,,5.99,2.85,2.39,7.07,7.0,6.79,1.02,1.56,1.46,0.91,1.19,23639.01,9.36,2.23,8.68,5.45,37.9,0
CHD01162,1.29,5.76,1.13,,7.0,4.52,9.93,9.45,9.85,6.61,4.26,8.43,0.96,6.68,8.48,9.14,3.66,13.51,8.36,295913.64,17.69,1.09,6.73,2.09,53.0,1
CHD01163,3.35,,2.79,1.89,1.38,6.22,1.44,3.68,9.92,6.75,6.25,8.91,0.11,3.25,4.17,3.77,8.51,1.15,1.74,54292.04,15.19,2.57,9.41,1.05,46.7,0
CHD01164,7.44,,1.19,3.85,9.5,9.97,5.55,6.41,8.38,8.05,,4.21,1.12,2.5,1.77,6.49,8.63,12.69,4.1,12131.79,1.56,5.68,0.22,9.08,50.4,0
CHD01165,1.61,2.2,1.08,6.7,8.83,9.97,7.51,4.74,9.36,4.57,,1.88,0.8,8.89,8.45,4.51,0.14,2.18,0.78,75007.38,5.16,6.64,6.73,7.6,40.0,0
CHD01166,8.18,7.8,0.11,5.08,8.68,,2.74,0.95,7.0,1.05,2.67,9.44,0.83,6.12,5.16,3.36,5.84,8.91,3.14,67628.07,0.37,7.1,9.66,4.99,55.6,0
CHD01167,8.32,3.67,0.37,1.86,9.96,4.7,1.23,5.4,2.5,7.76,0.19,5.36,1.18,6.8,,5.37,8.22,8.72,2.52,63481.89,18.83,2.08,6.04,3.49,66.4,1
CHD01168,5.07,6.29,3.56,1.14,2.33,0.4,7.29,8.56,4.36,,2.05,3.52,0.35,5.92,1.12,4.58,1.33,3.96,4.86,137699.69,6.97,2.09,7.16,7.32,49.1,0
CHD01169,0.06,8.5,0.07,4.95,9.16,7.63,6.72,6.14,0.89,9.98,8.45,6.54,7.82,9.41,2.82,3.8,7.51,7.08,6.69,37870.34,10.18,7.41,8.73,0.86,48.0,0
CHD01170,2.87,2.56,7.28,9.56,6.93,6.65,9.15,3.73,6.15,9.01,2.13,6.84,1.05,7.59,7.78,6.09,6.46,0.29,1.52,44878.32,1.81,4.22,9.14,0.93,46.2,0
CHD01171,6.17,6.01,0.39,3.15,8.13,4.93,2.56,7.14,7.25,6.02,2.06,1.13,8.56,4.76,2.41,2.04,3.49,0.14,14.23,115200.91,14.52,4.65,9.54,6.93,42.7,0
CHD01172,9.81,4.8,0.78,1.57,4.06,9.79,9.99,7.56,3.55,7.96,6.99,0.11,9.5,3.56,5.66,,2.94,8.31,1.32,27288.88,2.62,5.21,7.72,5.1,48.5,0
CHD01173,6.32,7.91,1.7,8.27,7.67,3.52,6.89,1.24,9.85,,0.19,5.27,2.81,4.91,5.28,7.79,5.77,2.92,1.11,145469.46,8.4,9.99,6.42,14.58,67.5,1
CHD01174,2.6,6.97,3.63,2.87,7.13,0.37,8.31,5.68,5.0,3.02,0.37,0.11,7.93,8.62,1.92,5.9,1.88,1.85,3.07,,6.9,6.51,4.73,1.69,52.8,0
CHD01175,6.34,7.7,3.5,1.07,7.41,2.31,9.47,5.74,5.9,7.8,7.11,6.54,8.46,9.61,1.62,2.12,0.21,4.95,1.36,127867.75,17.13,1.75,7.0,1.63,34.1,0
CHD01176,,2.88,1.23,9.9,3.39,8.24,7.33,2.8,0.77,3.9,7.32,6.11,4.69,0.02,3.9,5.29,8.9,6.35,0.67,45620.46,9.3,0.95,2.58,6.03,44.2,0
CHD01177,7.8,7.04,1.63,2.14,2.61,2.26,,2.29,2.62,3.16,3.87,6.14,6.6,0.77,9.71,7.02,2.56,3.69,7.39,104086.47,23.14,1.5,9.51,8.87,48.3,0
CHD01178,1.07,6.06,4.11,3.48,8.83,0.49,5.05,7.9,,8.9,9.37,2.83,0.37,2.11,5.21,3.16,6.46,8.59,11.12,11673.58,4.14,0.18,9.21,0.77,41.5,0
CHD01179,,4.57,2.48,1.93,4.09,7.38,4.17,6.96,0.07,5.61,2.43,9.12,1.22,5.35,9.79,8.48,8.28,7.18,2.58,63631.75,13.41,7.11,4.17,2.24,57.2,1
CHD01180,5.41,3.78,2.29,9.51,8.06,2.54,6.87,,1.26,1.07,3.95,2.87,,5.48,2.56,1.01,9.89,2.33,3.26,58820.13,7.73,1.57,4.75,4.08,54.5,0
CHD01181,9.63,,,6.8,6.95,1.09,3.71,2.22,7.65,9.45,1.45,0.69,1.51,2.98,4.78,5.28,,8.84,5.62,100597.18,14.7,6.77,2.44,5.27,60.1,1
CHD01182,3.42,0.1,2.28,7.39,1.83,6.94,1.99,8.47,4.03,2.3,,9.91,3.54,,8.55,7.88,8.8,3.68,7.73,121104.64,7.69,2.71,2.76,4.14,47.2,0
CHD01183,6.33,1.7,2.17,1.02,1.73,0.83,3.93,7.47,9.5,1.98,3.63,8.5,1.07,3.29,2.91,6.47,2.57,8.76,4.46,53015.4,7.51,2.96,8.39,2.3,56.7,1
CHD01184,9.32,0.59,,6.72,,1.01,9.1,9.46,2.11,1.31,7.27,3.19,4.63,8.92,9.28,0.95,0.47,4.26,4.18,23397.3,6.5,11.79,2.28,9.24,62.2,1
CHD01185,1.03,8.48,4.66,5.2,9.88,8.94,0.76,7.92,7.66,1.31,8.05,7.18,3.82,,1.18,5.24,4.87,3.96,8.85,20887.98,4.96,3.81,5.33,9.87,41.3,0
CHD01186,9.37,8.6,2.75,4.77,9.27,8.41,7.32,9.49,9.9,4.6,4.1,0.93,9.66,4.08,9.19,1.94,8.35,3.75,1.14,111572.48,18.09,2.06,6.96,4.28,51.0,0
CHD01187,6.88,,1.45,5.08,1.99,4.31,5.27,8.94,4.61,3.91,5.29,3.54,5.18,14.02,7.28,6.1,1.15,4.66,4.67,30731.29,1.63,7.48,2.77,5.63,60.8,1
CHD01188,0.68,,4.75,6.29,2.91,3.38,,9.13,6.77,6.95,0.61,7.8,4.88,8.11,8.48,8.18,,3.7,9.92,111487.93,4.37,3.23,3.62,2.19,58.6,1
CHD01189,3.01,2.21,3.51,0.83,9.0,5.93,0.91,1.75,8.12,4.02,3.75,6.11,6.68,9.43,8.58,0.81,5.4,9.35,0.87,18014.89,4.19,7.38,7.45,5.67,45.0,0
CHD01190,7.08,4.92,3.27,5.87,8.86,3.08,4.55,0.61,8.81,8.26,9.47,9.8,5.89,5.71,4.74,5.42,,5.85,7.68,17361.08,18.75,3.08,7.45,6.76,49.1,0
CHD01191,0.67,9.08,3.03,4.86,14.19,6.31,3.61,0.3,,4.11,0.08,2.48,1.03,9.91,9.82,2.1,5.03,8.77,10.0,10859.85,5.73,,,9.3,64.0,1
CHD01192,5.82,7.6,3.7,3.69,1.27,6.52,7.18,7.71,7.52,5.96,0.06,,9.39,2.62,6.61,0.91,6.23,8.38,5.31,96061.27,,3.18,9.61,0.0,57.5,1
CHD01193,3.46,0.02,3.88,5.52,2.68,9.62,6.08,3.33,9.1,7.24,7.16,8.33,2.31,9.46,11.02,4.68,8.04,9.63,8.54,68137.98,4.27,3.12,1.16,5.12,49.8,0
CHD01194,,4.59,3.96,3.63,7.77,7.92,9.01,7.16,,2.85,0.0,9.22,4.06,9.08,6.17,0.59,14.12,9.13,6.42,116079.83,3.21,0.06,0.49,7.52,56.9,1
CHD01195,0.46,0.11,4.88,1.39,7.99,3.0,2.29,6.01,1.92,,6.05,3.73,1.47,7.48,,5.47,8.36,6.87,3.95,60367.07,12.89,8.73,0.23,8.1,52.3,0
CHD01196,8.72,2.81,2.06,0.65,4.31,,3.35,0.39,9.65,8.52,8.6,0.73,8.69,3.18,6.34,7.26,7.43,5.57,7.93,102689.49,20.91,2.0,9.87,2.89,42.6,0
CHD01197,9.73,4.36,1.21,1.23,6.84,14.1,6.35,0.32,1.27,0.64,3.82,,8.15,7.26,12.74,7.62,7.18,2.79,,147775.7,11.77,8.52,6.98,2.3,52.6,0
CHD01198,9.69,8.93,1.97,6.56,1.76,7.63,9.48,7.48,1.35,1.66,8.26,4.8,4.73,7.92,3.53,8.62,3.89,9.49,9.33,12914.27,5.06,1.81,7.68,2.81,53.1,0
CHD01199,7.5,6.54,3.83,7.48,1.08,9.71,7.04,7.86,1.09,5.39,0.77,9.02,2.66,1.34,9.73,2.0,4.36,0.44,9.07,122396.61,2.19,4.17,5.82,1.21,43.9,0
CHD01200,1.3,,2.7,,8.89,1.34,6.39,6.95,8.41,2.06,5.19,9.94,9.79,3.92,3.02,0.12,5.95,0.22,,,17.29,1.57,,8.34,46.8,0
CHD01201,7.58,4.91,4.32,0.08,7.02,8.49,,0.78,3.37,7.48,,2.33,6.58,6.54,9.15,3.38,8.95,6.68,9.52,,9.17,4.85,2.58,7.52,59.5,1
CHD01202,0.25,8.17,1.18,5.3,6.88,3.49,1.01,2.14,8.86,8.81,9.21,7.53,2.03,0.51,1.33,1.22,0.94,0.75,1.4,143999.41,10.6,9.12,8.88,,35.5,0
CHD01203,0.22,3.0,3.69,0.13,1.0,3.85,0.22,9.41,7.5,6.25,7.28,0.31,7.28,0.7,2.27,3.59,6.47,9.0,0.19,131282.74,14.69,4.61,14.82,0.39,52.8,0
CHD01204,3.24,6.15,1.25,0.65,7.8,9.38,7.3,2.62,,2.75,0.21,3.04,4.28,7.22,0.52,0.27,8.76,7.45,7.66,36195.37,16.17,9.43,,7.01,49.9,0
CHD01205,4.89,2.62,,0.73,3.44,1.77,6.74,2.08,5.4,0.41,9.87,6.11,0.99,1.72,7.48,2.88,7.22,6.14,3.25,83599.18,2.91,4.95,8.91,,45.8,0
CHD01206,7.7,4.8,2.19,,8.97,3.05,3.78,3.38,1.31,9.76,7.52,6.6,9.66,10.66,1.36,1.45,0.02,1.68,3.88,93366.37,0.73,7.07,2.2,7.21,38.0,0
CHD01207,6.83,0.25,4.95,0.38,4.19,2.85,6.51,2.72,3.71,2.35,8.62,0.96,4.28,1.89,9.07,4.98,3.71,6.32,8.13,48006.57,15.59,8.34,6.96,5.49,46.2,0
CHD01208,,8.52,3.34,0.64,,1.26,13.95,1.77,9.35,14.0,7.78,2.3,8.03,1.87,0.5,5.54,7.56,2.77,4.31,11988.59,3.78,1.3,4.7,1.84,31.9,0
CHD01209,2.74,0.48,3.71,7.24,3.19,12.56,5.47,5.56,4.6,1.11,0.47,6.72,7.17,0.31,9.41,,6.11,8.51,7.06,144919.47,12.49,,6.25,0.43,49.5,0
CHD01210,9.97,2.24,0.21,4.91,0.4,9.35,2.37,0.29,2.98,0.14,3.95,9.85,3.5,4.93,9.38,1.41,1.26,3.84,9.78,94050.2,14.11,7.75,5.22,3.67,40.4,0
CHD01211,4.26,3.34,3.52,9.55,8.13,1.26,0.52,3.14,3.18,1.83,2.78,2.84,,3.47,2.14,3.02,6.51,,1.42,136189.85,12.63,2.64,10.0,4.39,54.6,0
CHD01212,4.51,6.25,,,5.51,9.9,3.83,5.22,3.02,1.12,3.04,0.83,5.53,2.83,11.56,1.83,8.28,7.63,5.95,124181.85,10.97,3.73,6.65,5.93,58.8,1
CHD01213,1.64,7.2,1.62,9.7,6.46,1.82,8.67,3.67,14.72,4.38,7.07,3.33,4.94,4.75,4.99,1.39,8.95,1.08,6.58,114221.47,18.76,2.76,3.15,,42.7,0
CHD01214,7.95,0.8,3.98,3.0,0.91,9.03,3.91,1.86,11.38,4.08,3.99,8.44,2.2,4.93,2.81,,2.67,2.28,5.38,22774.01,7.62,5.81,2.37,2.16,52.4,1
CHD01215,6.94,0.43,1.14,4.31,4.84,2.76,11.38,2.01,5.42,9.03,8.17,1.86,6.39,4.57,5.85,8.09,3.3,7.61,9.74,107101.41,18.89,3.28,7.47,2.8,36.1,0
CHD01216,2.21,7.99,0.91,6.37,6.59,2.6,,6.04,1.7,3.15,,6.25,1.18,1.83,,8.99,6.61,5.61,6.33,59028.83,11.59,4.85,5.16,3.47,56.8,1
CHD01217,0.82,7.12,1.78,6.21,5.21,7.04,0.12,5.06,2.58,2.15,0.41,9.37,4.29,7.64,1.6,1.06,4.18,5.32,3.35,58255.61,18.09,3.37,4.98,3.82,43.4,1
CHD01218,6.8,8.32,3.15,0.03,0.56,6.71,10.75,2.11,7.17,5.05,0.56,1.02,0.53,8.13,2.47,4.99,5.66,1.8,3.42,15232.68,13.08,3.71,2.9,6.6,53.3,0
CHD01219,6.55,6.77,1.29,5.02,4.5,5.63,0.64,10.4,9.92,2.73,4.8,8.54,6.04,6.13,,9.52,3.72,7.49,3.56,68099.68,16.34,8.21,8.66,2.54,61.5,1
CHD01220,,7.51,2.79,4.42,2.77,6.7,9.21,9.75,1.09,2.21,2.42,1.7,8.2,5.8,6.35,10.56,0.81,1.67,,,2.99,8.25,0.69,5.35,50.9,0
CHD01221,9.51,3.79,1.92,2.13,,7.93,8.61,4.55,9.28,0.93,9.2,,9.17,1.51,5.39,7.1,4.55,3.38,7.32,71900.65,9.32,7.01,1.64,6.28,50.4,0
CHD01222,1.51,5.9,1.98,7.33,2.87,6.03,1.45,8.94,4.57,4.68,14.37,2.83,2.95,4.97,1.53,6.34,5.0,3.65,8.09,15163.16,4.05,10.59,2.64,3.64,44.1,0
CHD01223,4.32,8.05,1.02,7.85,2.85,9.36,1.64,9.98,9.23,3.8,5.66,1.65,3.16,3.4,3.87,5.54,,6.75,9.92,86570.47,,,9.04,7.25,55.6,0
CHD01224,9.44,1.72,1.61,6.11,7.7,9.14,3.66,13.65,14.51,1.12,8.58,2.06,4.84,6.39,4.98,1.06,8.9,1.09,4.65,50354.58,9.37,3.49,4.08,3.74,50.3,0
CHD01225,4.2,4.23,1.37,4.11,2.52,6.26,6.18,3.61,2.37,0.38,1.44,1.9,3.11,0.81,7.27,8.46,4.65,5.38,5.34,129286.68,10.47,3.93,3.5,6.61,50.0,0
CHD01226,6.39,7.4,1.22,3.45,9.99,3.82,0.42,7.28,1.22,6.54,4.94,3.12,9.68,4.2,5.7,9.45,3.98,8.07,5.04,64901.15,0.72,3.13,0.26,7.98,53.4,0
CHD01227,3.98,5.33,0.4,1.45,9.52,,0.77,6.79,3.2,2.18,7.47,6.25,6.65,9.39,8.54,4.37,2.45,4.14,2.57,,2.14,9.98,0.12,0.29,53.1,0
CHD01228,2.74,6.82,2.17,6.37,4.21,3.31,5.13,6.69,6.87,3.83,3.48,5.45,5.66,6.42,0.49,7.98,1.35,8.73,6.85,47194.29,16.31,7.43,3.59,10.41,57.0,1
CHD01229,9.84,2.93,1.22,7.7,0.29,9.72,1.85,5.55,6.71,0.76,6.46,0.26,0.3,3.23,0.73,6.32,9.39,,8.28,256818.61,1.21,5.22,3.36,6.49,59.8,1
